problem_size,time_basic,time_efficient
2,2.9087066650390625e-05,4.589557647705078e-05
4,4.303455352783203e-05,6.604194641113281e-05
6,5.805492401123047e-05,0.000141143798828125
8,9.119510650634766e-05,0.00018644332885742188
10,0.0001100301742553711,0.0002269744873046875
12,0.00013947486877441406,0.0003440380096435547
14,0.0001709461212158203,0.0004248619079589844
16,0.00023794174194335938,0.0005199909210205078
18,0.00027549266815185547,0.000699162483215332
20,0.00033295154571533203,0.0008765459060668945
22,0.00040853023529052734,0.0010216236114501953
24,0.0005005598068237305,0.0012018680572509766
26,0.0005768537521362305,0.0014363527297973633
28,0.0006968975067138672,0.0016393661499023438
30,0.0007801055908203125,0.0018339157104492188
32,0.0009133815765380859,0.002111077308654785
34,0.00106048583984375,0.0023974180221557617
36,0.0011663436889648438,0.002663135528564453
38,0.0012385845184326172,0.0029321908950805664
40,0.0014576911926269531,0.0035208463668823242
42,0.001568436622619629,0.003707408905029297
44,0.0017435550689697266,0.004081010818481445
46,0.001963376998901367,0.004477858543395996
48,0.0020940303802490234,0.00501704216003418
50,0.0022450685501098633,0.005396008491516113
52,0.002414107322692871,0.00569760799407959
54,0.002577662467956543,0.0061484575271606445
56,0.0028150081634521484,0.006589174270629883
58,0.0029615163803100586,0.006904125213623047
60,0.0032334327697753906,0.007806539535522461
62,0.0034203529357910156,0.008098006248474121
64,0.003643035888671875,0.008450150489807129
66,0.00388491153717041,0.008960962295532227
68,0.004141092300415039,0.00977778434753418
70,0.004337430000305176,0.01031351089477539
72,0.004619479179382324,0.011093616485595703
74,0.004860043525695801,0.01171112060546875
76,0.005102396011352539,0.012221455574035645
78,0.005423903465270996,0.013127446174621582
80,0.005563616752624512,0.013316035270690918
82,0.0058405399322509766,0.013879060745239258
84,0.006259560585021973,0.015106439590454102
86,0.006583213806152344,0.015915393829345703
88,0.006767868995666504,0.01653611660003662
90,0.007058143615722656,0.017177343368530273
92,0.007423043251037598,0.01826298236846924
94,0.007772088050842285,0.018902301788330078
96,0.008088111877441406,0.01974654197692871
98,0.008491039276123047,0.020511984825134277
100,0.008672952651977539,0.02111208438873291
102,0.009046077728271484,0.02236008644104004
104,0.00942528247833252,0.02328658103942871
106,0.009864330291748047,0.024259448051452637
108,0.010065913200378418,0.02462160587310791
110,0.010545134544372559,0.026155948638916016
112,0.010968804359436035,0.02688145637512207
114,0.01124560832977295,0.02733790874481201
116,0.01177060604095459,0.02925407886505127
118,0.012132048606872559,0.030345678329467773
120,0.012340903282165527,0.031368374824523926
122,0.012747526168823242,0.031693100929260254
124,0.013264894485473633,0.03261744976043701
126,0.013731956481933594,0.03376352787017822
128,0.014206409454345703,0.03503286838531494
130,0.014759421348571777,0.03707146644592285
132,0.015150904655456543,0.037768006324768066
134,0.01548302173614502,0.03816556930541992
136,0.015976548194885254,0.039579033851623535
138,0.016415953636169434,0.04122292995452881
140,0.017041921615600586,0.042772531509399414
142,0.017400383949279785,0.04310905933380127
144,0.017833590507507324,0.04426848888397217
146,0.01827406883239746,0.04571986198425293
148,0.018962383270263672,0.04707896709442139
150,0.019293904304504395,0.04833722114562988
152,0.019866466522216797,0.04959738254547119
154,0.02052748203277588,0.051047444343566895
156,0.020902633666992188,0.0529865026473999
158,0.021462082862854004,0.054070115089416504
160,0.02191305160522461,0.054816484451293945
162,0.022532343864440918,0.058080077171325684
164,0.023067116737365723,0.05782794952392578
166,0.02360403537750244,0.05927550792694092
168,0.024178385734558105,0.06052803993225098
170,0.024688005447387695,0.06230485439300537
172,0.025413870811462402,0.06344640254974365
174,0.02586829662322998,0.06671953201293945
176,0.026546120643615723,0.06615495681762695
178,0.027095437049865723,0.0712270736694336
180,0.02789294719696045,0.06997346878051758
182,0.02848339080810547,0.07149255275726318
184,0.029075026512145996,0.07312250137329102
186,0.029856085777282715,0.07428646087646484
188,0.03025996685028076,0.07579994201660156
190,0.030961155891418457,0.08035910129547119
192,0.03163456916809082,0.08034133911132812
194,0.032157182693481445,0.08082258701324463
196,0.03282058238983154,0.08399641513824463
198,0.0334930419921875,0.08657050132751465
200,0.03420829772949219,0.08590114116668701
